index,id_lu_1,word_1,pos_1,fnDefinition_1,relation,id_lu_2,word_2,pos_2,fnDefinition_2
0,12503,cause,noun,"a person or thing that gives rise to an action, phenomenon, or condition. ",hypernym,21642,justification,noun,the act of proving something to be right or reasonable
1,25909,cause,noun,To make happen,hypernym,21642,justification,noun,the act of proving something to be right or reasonable
2,12503,cause,noun,"a person or thing that gives rise to an action, phenomenon, or condition. ",hyponym,15341,war,noun,"a state of competition, conflict, or hostility"
3,12503,cause,noun,"a person or thing that gives rise to an action, phenomenon, or condition. ",hyponym,24018,reform,noun, the action or process of reforming.
4,12506,reason,noun,"a cause, explanation, or justification.",hyponym,21402,indication,noun,a sign or symptom
5,21665,reason,noun,FN:an explanation or justification,hyponym,21402,indication,noun,a sign or symptom
6,12532,consequence,noun,a situation or entity that results from some event,hypernym,21019,significance,noun, the quality of being significant; importance.
7,19085,contact,noun,the state or condition of communicating or meeting,hyponym,15553,engagement,noun,a formal agreement to get married
8,19085,contact,noun,the state or condition of communicating or meeting,hyponym,19473,impact,noun,the action of one object coming forcibly into contact with another. 
9,26100,contact,noun,the state of having no separation (between two or more surfaces).,hyponym,15553,engagement,noun,a formal agreement to get married
10,26100,contact,noun,the state of having no separation (between two or more surfaces).,hyponym,19473,impact,noun,the action of one object coming forcibly into contact with another. 
11,12547,contact,noun,a communication or relationship.,hypernym,13177,communication,noun,the action of communicating
12,12549,password,noun, secret word or phrase used to gain admission to something.,hypernym,21401,sign,noun,"an object, quality, or event whose presence or occurrence indicates the probable presence, occurrence, or advent of something else"
13,12549,password,noun, secret word or phrase used to gain admission to something.,hypernym,21046,product,noun,the finished item that is sold or exchanged. 
14,23345,word,noun,"a single distinct meaningful element of speech or writing, used to form sentences with others",hypernym,21401,sign,noun,"an object, quality, or event whose presence or occurrence indicates the probable presence, occurrence, or advent of something else"
15,23345,word,noun,"a single distinct meaningful element of speech or writing, used to form sentences with others",hypernym,21046,product,noun,the finished item that is sold or exchanged. 
16,25969,password,noun,A sequence of characters that can be used to grant access to a physical or digital location.,hypernym,21401,sign,noun,"an object, quality, or event whose presence or occurrence indicates the probable presence, occurrence, or advent of something else"
17,25969,password,noun,A sequence of characters that can be used to grant access to a physical or digital location.,hypernym,21046,product,noun,the finished item that is sold or exchanged. 
18,12549,password,noun, secret word or phrase used to gain admission to something.,hypernym,12956,design,noun,the art or action of conceiving of and producing a plan or drawing before something is built
19,12577,copy,noun,a thing made to be similar or identical to another. ,hyponym,12581,photocopy,noun,a photographic copy of something produced by a process involving the action of light on a specially prepared surface. 
20,12577,copy,noun,a thing made to be similar or identical to another. ,hypernym,22287,representation,noun,"an image, model, or other depiction of something."
21,12577,copy,noun,a thing made to be similar or identical to another. ,hyponym,12586,replica,noun,"an exact copy or model of something, especially one on a smaller scale. "
22,12579,duplicate,noun,one of two or more identical things. ,hypernym,21241,artifact,noun,an object made by a human being.
23,12581,photocopy,noun,a photographic copy of something produced by a process involving the action of light on a specially prepared surface. ,hypernym,12577,copy,noun,a thing made to be similar or identical to another. 
24,12581,photocopy,noun,a photographic copy of something produced by a process involving the action of light on a specially prepared surface. ,hypernym,24306,photograph,noun,"a picture made with a camera, in which an image is focused on to film and then made visible and permanent by chemical treatment"
25,12586,replica,noun,"an exact copy or model of something, especially one on a smaller scale. ",hypernym,12577,copy,noun,a thing made to be similar or identical to another. 
26,25968,combination,noun,A set of operations or sequence of symbols that can be input into a device to unlock a location or function.,hypernym,24577,subset,noun,a part of a larger group of related things.
27,25968,combination,noun,A set of operations or sequence of symbols that can be input into a device to unlock a location or function.,hypernym,23521,mathematics,noun,"the branch of science concerned with number, quantity, and space, either as abstract concepts (pure mathematics) or as applied to physics, engineering, and other subjects (applied mathematics) "
28,25968,combination,noun,A set of operations or sequence of symbols that can be input into a device to unlock a location or function.,hypernym,23523,math,noun,"mathematics (US & Candadian, informal)"
29,25968,combination,noun,A set of operations or sequence of symbols that can be input into a device to unlock a location or function.,hypernym,15640,set,noun,a group or collection of things belonging or used together or resembling one another
30,12622,combination,noun,"The act of combining, or the result of agentive combining.",hypernym,25136,sequence,noun,a temporal arrangement of entities
